frame,avg_intensity,finger_presence_flag
1,239.37008403361344,0
2,239.6053781512605,0
3,239.91025210084032,0
4,238.6672268907563,0
5,238.60504201680672,0
6,236.23361344537815,0
7,234.87529411764706,0
8,234.5324369747899,0
9,237.75663865546218,0
10,237.35529411764705,0
11,237.51260504201682,0
12,237.29310924369747,0
13,237.91596638655463,0
14,237.8672268907563,0
15,237.7872268907563,0
16,238.0638655462185,0
17,238.07193277310924,0
18,238.69176470588235,0
19,238.8181512605042,0
20,238.67731092436975,0
21,239.07563025210084,0
22,239.10823529411763,0
23,239.14420168067227,0
24,239.3290756302521,0
25,239.71495798319327,0
26,239.6386554621849,0
27,237.8473949579832,0
28,236.06453781512604,0
29,234.7768067226891,0
30,234.6238655462185,0
31,237.9163025210084,0
32,237.19193277310924,0
33,237.4675630252101,0
34,238.298487394958,0
35,237.98117647058822,0
36,237.93176470588236,0
37,238.0816806722689,0
38,238.34218487394958,0
39,238.44605042016806,0
40,238.72537815126051,0
41,238.57176470588234,0
42,238.87529411764706,0
43,239.138487394958,0
44,239.2436974789916,0
45,239.3872268907563,0
46,239.36806722689076,0
47,239.50521008403362,0
48,238.44974789915966,0
49,238.69512605042016,0
50,237.84436974789915,0
51,235.52134453781514,0
52,234.56941176470588,0
53,234.13714285714286,0
54,237.92739495798318,0
55,237.26319327731093,0
56,237.4726050420168,0
57,237.71932773109245,0
58,237.89546218487396,0
59,237.76806722689076,0
60,238.13310924369748,0
61,237.9563025210084,0
62,238.45512605042018,0
63,238.38487394957983,0
64,238.55563025210083,0
65,239.1146218487395,0
66,238.99428571428572,0
67,239.14823529411765,0
68,238.85142857142858,0
69,238.91764705882352,0
70,239.68941176470588,0
71,239.4635294117647,0
72,239.44134453781513,0
73,239.5035294117647,0
74,239.1670588235294,0
75,235.1273949579832,0
76,233.65848739495797,0
77,233.67193277310923,0
78,237.76235294117646,0
79,237.32235294117646,0
80,237.01915966386554,0
81,237.3236974789916,0
82,237.17512605042018,0
83,237.25344537815127,0
84,237.32302521008404,0
85,237.60100840336133,0
86,237.51294117647058,0
87,237.94285714285715,0
88,238.19596638655463,0
89,238.34487394957983,0
90,238.48605042016806,0
91,238.90151260504203,0
92,238.97378151260503,0
93,238.7781512605042,0
94,239.39865546218488,0
95,239.50285714285715,0
96,239.40100840336135,0
97,239.17680672268907,0
98,238.17411764705884,0
99,236.45781512605043,0
100,235.68571428571428,0
101,235.7781512605042,0
102,236.26151260504201,0
103,238.05378151260504,0
104,238.25781512605042,0
105,238.08302521008403,0
106,238.21882352941176,0
107,238.1747899159664,0
108,238.2268907563025,0
109,238.27361344537815,0
110,237.89042016806724,0
111,238.06655462184875,0
112,238.2836974789916,0
113,238.45848739495798,0
114,239.06521008403362,0
115,238.94252100840336,0
116,239.32134453781512,0
117,239.62957983193277,0
118,239.46453781512605,0
119,239.70386554621848,0
120,238.22117647058823,0
121,236.47327731092437,0
122,235.81210084033614,0
123,236.21680672268909,0
124,236.14319327731093,0
125,237.8547899159664,0
126,237.75697478991597,0
127,237.88638655462185,0
128,237.52100840336135,0
129,237.82420168067227,0
130,237.86689075630252,0
131,238.10689075630253,0
132,238.71058823529413,0
133,239.0255462184874,0
134,238.89411764705883,0
135,239.5179831932773,0
136,239.22957983193277,0
137,239.50588235294117,0
138,239.99563025210085,0
139,238.76705882352942,0
140,238.78521008403362,0
141,239.2363025210084,0
142,239.58453781512605,0
143,238.99865546218487,0
144,237.70050420168067,0
145,232.847731092437,0
146,232.7452100840336,0
147,233.0309243697479,0
148,237.17344537815126,0
149,238.06487394957983,0
150,238.4652100840336,0
151,238.31529411764706,0
152,238.40672268907562,0
153,238.01882352941178,0
154,238.28638655462186,0
155,238.3909243697479,0
156,238.84571428571428,0
157,238.84100840336134,0
158,239.13512605042015,0
159,239.35899159663865,0
160,239.20302521008404,0
161,239.2981512605042,0
162,238.77915966386556,0
163,238.90689075630252,0
164,238.94252100840336,0
165,237.84268907563026,0
166,236.31865546218486,0
167,235.26857142857142,0
168,234.97680672268908,0
169,236.90789915966386,0
170,237.02789915966386,0
171,237.3294117647059,0
172,237.30789915966386,0
173,237.2833613445378,0
174,237.31731092436974,0
175,237.36773109243697,0
176,237.74689075630252,0
177,237.50218487394957,0
178,238.19361344537816,0
179,238.149243697479,0
180,238.37109243697478,0
181,238.09848739495797,0
182,238.61176470588236,0
183,238.46655462184873,0
184,239.1653781512605,0
185,239.0235294117647,0
186,238.8403361344538,0
187,237.17378151260505,0
188,235.2947899159664,0
189,234.78487394957983,0
190,234.68941176470588,0
191,236.8366386554622,0
192,236.35865546218488,0
193,236.70857142857142,0
194,236.9781512605042,0
195,236.76773109243697,0
196,236.8087394957983,0
197,237.03226890756304,0
198,237.0090756302521,0
199,237.3233613445378,0
200,237.55428571428573,0
201,237.81310924369748,0
202,237.78991596638656,0
203,238.00873949579832,0
204,238.24806722689075,0
205,238.29310924369747,0
206,238.5741176470588,0
207,238.65680672268908,0
208,238.72134453781513,0
209,238.62285714285716,0
210,237.6349579831933,0
211,235.9475630252101,0
212,235.01344537815126,0
213,235.2231932773109,0
214,235.08705882352942,0
215,237.4655462184874,0
216,237.27226890756302,0
217,237.17781512605043,0
218,237.44672268907564,0
219,237.6816806722689,0
220,237.7472268907563,0
221,237.84268907563026,0
222,238.06521008403362,0
223,238.37142857142857,0
224,238.5105882352941,0
225,238.6144537815126,0
226,238.91697478991597,0
227,239.31563025210085,0
228,239.18823529411765,0
229,238.39697478991596,0
230,238.5216806722689,0
231,238.6255462184874,0
232,239.17848739495798,0
233,237.83899159663866,0
234,236.3583193277311,0
235,235.81176470588235,0
236,235.55361344537815,0
237,235.72941176470587,0
238,236.00168067226892,0
239,238.16941176470587,0
240,238.03932773109244,0
241,238.1347899159664,0
242,238.45008403361345,0
243,238.24,0
244,238.26689075630253,0
245,238.68336134453781,0
246,238.86050420168067,0
247,238.93042016806723,0
248,239.21815126050421,0
249,239.1529411764706,0
250,239.6181512605042,0
251,238.23966386554622,0
252,238.45411764705884,0
253,238.69042016806722,0
254,238.41512605042016,0
255,237.0779831932773,0
256,236.2689075630252,0
257,236.04235294117646,0
258,235.60773109243698,0
259,235.8272268907563,0
260,237.88806722689077,0
261,237.77747899159664,0
262,237.88100840336134,0
263,237.88605042016806,0
264,237.82756302521008,0
265,237.79394957983195,0
266,238.1233613445378,0
267,238.2436974789916,0
268,238.3889075630252,0
269,238.7583193277311,0
270,238.96504201680673,0
271,238.51966386554622,0
272,238.75226890756304,0
273,238.8490756302521,0
274,239.07361344537816,0
275,239.18689075630252,0
276,237.9468907563025,0
277,236.72403361344539,0
278,235.4363025210084,0
279,235.32436974789917,0
280,235.18789915966386,0
281,237.1035294117647,0
282,236.82319327731093,0
283,236.75966386554623,0
284,236.60806722689077,0
285,236.75361344537816,0
286,236.82084033613447,0
287,236.83126050420168,0
288,237.149243697479,0
289,237.2268907563025,0
290,237.6383193277311,0
291,237.95563025210083,0
292,238.0110924369748,0
293,238.20033613445378,0
294,238.4618487394958,0
295,238.82823529411766,0
296,238.86386554621848,0
297,238.82453781512606,0
298,239.11529411764707,0
299,239.23529411764707,0
300,238.34621848739496,0
301,235.14285714285714,0
302,234.77882352941177,0
303,234.8672268907563,0
304,237.10957983193276,0
305,236.74050420168066,0
306,236.8433613445378,0
307,236.96268907563027,0
308,236.92336134453782,0
309,236.8181512605042,0
310,236.8053781512605,0
311,237.2803361344538,0
312,237.19865546218486,0
313,237.34890756302522,0
314,237.41210084033614,0
315,237.6453781512605,0
316,237.709243697479,0
317,237.9163025210084,0
318,237.8746218487395,0
319,238.13310924369748,0
320,238.2090756302521,0
321,238.26016806722689,0
322,237.4779831932773,0
323,236.47529411764705,0
324,236.20705882352942,0
325,236.1179831932773,0
326,235.67596638655462,0
327,235.90991596638656,0
328,236.0712605042017,0
329,236.02218487394958,0
330,236.10823529411763,0
331,235.97142857142856,0
332,236.22655462184875,0
333,236.27394957983194,0
334,236.45176470588234,0
335,236.7875630252101,0
336,237.14117647058825,0
337,237.43529411764706,0
338,237.56100840336134,0
339,237.76672268907564,0
340,238.25747899159663,0
341,238.4036974789916,0
342,238.57512605042018,0
343,238.61176470588236,0
344,239.149243697479,0
345,238.2127731092437,0
346,237.27495798319327,0
347,234.34789915966385,0
348,234.35932773109243,0
349,234.49714285714285,0
350,237.09109243697478,0
351,236.89243697478992,0
352,236.85915966386554,0
353,237.12504201680673,0
354,237.53714285714287,0
355,237.30756302521007,0
356,237.29613445378152,0
357,237.46453781512605,0
358,237.91764705882352,0
359,238.09882352941176,0
360,238.19563025210084,0
361,238.13008403361346,0
362,238.5563025210084,0
363,239.0894117647059,0
364,238.95226890756302,0
365,239.18823529411765,0
366,239.24941176470588,0
367,238.82621848739495,0
368,238.43495798319327,0
369,237.04,0
370,236.01983193277312,0
371,235.59025210084033,0
372,235.59932773109244,0
